gene_label	ahpC	ahpF	ansB	argF	aroG	asnA	asnB	bcp	cspA	cspC	cspE	cueO	cyoA	cyoB	cyoC	cyoD	dacC	deaD	degP	fbaB	fis	fklB	fkpA	folX	fumA	gdhA	gloA	gpmM	grxB	gshB	hchA	hupA	hupB	iscS	iscU	katE	katG	malT	metH	mltD	msrB	nlpD	nuoB	ompC	ompF	pfkB	poxB	ppiD	purT	pykA	pykF	rhlB	sbp	skp	slyD	smpB	sodA	sodB	speA	speB	speD	stpA	sufA	sufB	sufC	surA	talA	tktB	ahpC	ahpF	ansB	argF	aroG	asnA	asnB	bcp	cspA	cspC	cspE	cueO	cyoA	cyoB	cyoC	cyoD	dacC	deaD	degP	fbaB	fis	fklB	fkpA	folX	fumA	gdhA	gloA	gpmM	grxB	gshB	hchA	hupA	hupB	iscS	iscU	katE	katG	malT	metH	mltD	msrB	nlpD	nuoB	ompC	ompF	pfkB	poxB	ppiD	purT	pykA	pykF	rhlB	sbp	skp	slyD	smpB	sodA	sodB	speA	speB	speD	stpA	sufA	sufB	sufC	surA	talA	tktB
ahpC	-8.250254488511159	-0.43731875130160525	0.03394747283773039	0.2820576260322445	-0.40011138988109524	-0.05185322690482417	-0.4079478830761365	-0.05985624874246573	0.10560335450850086	-0.12941241730961026	-0.19908931137399383	0.09621545022109089	0.17439290144965333	0.75005384535393	-0.10755298571893757	-0.08476312352862934	0.15909264743743418	-0.5974532266183373	-0.10946849149095222	-0.09295132867287101	-0.008315123108579256	-0.03962692583358284	0.0693738405369434	1.4426949695965583e-07	0.05405304272111917	0.18485104738024294	-0.28379279036816213	-0.8292853057883169	-0.07974723012087141	-0.0353720821134586	-0.6374296961960806	-0.013686072045950322	0.19626811707893846	-0.21206511606067208	-0.415037306919518	-0.6082465050531459	-1.0011846764165342	-0.7237989405050322	-0.7395340091107977	-0.6899653509518492	-0.3814756751952431	-0.7179422553180363	-1.9171425227268077	-0.6019406169306325	0.07500717414379274	-0.5983495887612047	-0.5446658201015129	-0.40011138988109524	-0.43171604582941225	-0.11010755900315697	-0.6947504127439967	-0.033552412046953486	-1.2946481564600645	-0.5369116936539442	-0.27947334143634583	-0.05738904867023014	-0.4788087473528237	-0.25170781639145784	-0.4804603729936808	-0.6606470433315316	-0.47798364304672253	-1.164161869566721	-0.45669491063228473	-0.23977014166575614	0.13933305234207402	-0.02689985620997252	-0.004151498585208413	0.1214783590506465	-8.22516426494036	-0.412227773706934	0.059038451371002415	0.30714860494939	-0.3750204122006691	-0.026762248520427124	-0.3828569054135884	-0.034765270372411804	0.13069433315949663	-0.10432143906762346	-0.1739983332666388	0.12130642885699396	0.19948388020829372	0.7751448248377955	-0.08246200743603566	-0.059672145203726094	0.18418362617257392	-0.5723622494190587	-0.08437751321161098	-0.06786035036298216	0.016775855352468203	-0.014535947427427016	0.09446481912914827	0.025091122744922173	0.07914402128801493	0.20994202615480378	-0.258701812433477	-0.8041943292451202	-0.05465625178681267	-0.010281103699773574	-0.6123387191025467	0.011404906405766068	0.2213590958707482	-0.18697413797911536	-0.3899463292732276	-0.5831555278821292	-0.9760937004326014	-0.6987079636502145	-0.7144430323010298	-0.6648743740018124	-0.35638469747269	-0.6928512784465755	-1.8920515511582674	-0.5768496397430783	0.10009815274523605	-0.5732586115642653	-0.519574842767017	-0.3750204122006691	-0.4066250682216862	-0.08501658072500476	-0.6696594358072914	-0.008461433630055326	-1.2695571815992661	-0.5118207162999991	-0.25438236349260795	-0.032298070295745995	-0.45371776985642265	-0.22661683839017116	-0.45536939550125033	-0.63555606630077	-0.4528926655483396	-1.1390708941782401	-0.4316039330831549	-0.21467916364006515	0.1644240310464926	-0.0018088777813616557	0.020939479883048878	0.1465693377269417
ahpF	0.3575521172186679	-23.253496664211536	-0.1671098238484559	0.09451773390498978	-0.4352151861478621	-0.4660212287189233	-0.6660990345230693	0.13613681926443424	-0.053580890476501594	-0.3088379167388988	-0.4974994557962372	0.07324911915808176	0.09451773390498978	0.49718664284579217	-0.3657937943546791	-0.6901445046422671	-0.03037350170445846	-0.2186401185981091	-0.1337512306045802	-0.3657937943546791	-0.26303423271039933	-0.3370348050424191	0.014950484248154237	-0.4660212287189233	-0.022719929940594834	-0.10114656870973046	-0.9850493729696775	-1.1420186864845918	-0.4764378432202129	-0.4869302155727255	-1.0151066008139769	-0.11735679414243406	0.24792763493368916	-0.6542249361111996	-0.6307659669492598	-0.912536887183561	-0.9702523739555189	-0.9702523739555189	-1.7023189818721916	-0.7905463848238213	-0.6076823573820123	-0.955605600846172	-1.912536615617512	-0.5515392877352878	-0.29034157539804456	-0.8434952554439129	-0.7145975443878159	-0.6901445046422671	-0.45567928592088364	-0.4352151861478621	-0.6307659669492598	0.10153816092683662	-1.2630340595870255	-0.7776073313444234	-0.3755089479317808	0.0074946800689107826	-0.7394722089094554	-0.5296798569512238	-0.7647832931755046	-1.030373354365413	-0.6901445046422671	-1.4150371145602176	-0.5405681715161665	-0.35614362556032203	-0.077167708326068	-0.11735679414243406	-0.24511232685046258	-0.007533527660573106	0.4426687244055437	-23.253496664211536	-0.0819932194909986	0.1796343398016508	-0.3500985836857168	-0.38090462649798207	-0.5809824340005261	0.22125342538122664	0.03153571458326333	-0.22372131333942774	-0.4123828538271416	0.15836572493977302	0.1796343398016508	0.5823032506277854	-0.28067719136749586	-0.6050279043401505	0.054743103492192656	-0.13352351457812434	-0.048634626034997304	-0.28067719136749586	-0.1779176289909757	-0.2519182018450234	0.10006708970587602	-0.38090462649798207	0.06239667530071902	-0.016029963937502494	-0.899932775692183	-1.056902091087609	-0.3913212410820037	-0.40181361351845585	-0.9299900038809129	-0.032240189470383755	0.3330442416112696	-0.5691083354811529	-0.5456493661094082	-0.8274202891040832	-0.8851357765110808	-0.8851357765110808	-1.6172023951319363	-0.7054297854828463	-0.5225657563390163	-0.8704890032381631	-1.8274200330965018	-0.4664226862115686	-0.205224971868147	-0.758378656637404	-0.6294809443136624	-0.6050279043401505	-0.37056268361839234	-0.3500985836857168	-0.5456493661094082	0.18665476686107663	-1.1779174657861269	-0.6924907318757965	-0.29039234501656214	0.09261128548424805	-0.6543556090711939	-0.44456325524533563	-0.6796666935814856	-0.9452567576100603	-0.6050279043401505	-1.3299205229634352	-0.4554515699006728	-0.27102702250213345	0.007948896592298502	-0.032240189470383755	-0.15999572300858816	0.07758307766866365
ansB	0.3219282103029611	0.3219282103029611	-2.999998845844429	0.8073550044973186	2.0000000360673758	0.9068906725522521	0.16992512968186593	1.3219281525951627	0.7004398069223228	-0.9999997114610208	0.3219282103029611	1.0000000721347502	0.16992512968186593	1.087462909141869	0.4594317235605692	0.8073550044973186	0.4594317235605692	-0.192644913062972	0.8073550044973186	0.16992512968186593	1.0000000721347502	0.5849625969008224	0.9068906725522521	0.8073550044973186	1.1699250655620905	0.8073550044973186	0.5849625969008224	0.16992512968186593	0.3219282103029611	0.3219282103029611	0.16992512968186593	1.087462909141869	2.6147098676694127	-0.192644913062972	0.4594317235605692	1.4426949695965583e-07	0.4594317235605692	0.4594317235605692	-0.192644913062972	-0.6780716742814497	1.4426949695965583e-07	-0.192644913062972	-0.192644913062972	1.4426949695965583e-07	1.1699250655620905	-0.192644913062972	1.4426949695965583e-07	0.3219282103029611	-0.415037306919518	0.3219282103029611	-0.9999997114610208	1.1699250655620905	-0.192644913062972	0.4594317235605692	1.4426949695965583e-07	0.8073550044973186	-0.9999997114610208	1.4426949695965583e-07	0.16992512968186593	-0.415037306919518	0.16992512968186593	-0.192644913062972	0.4594317235605692	-0.9999997114610208	-0.192644913062972	0.4594317235605692	-0.6780716742814497	0.4594317235605692	0.5145732738184077	0.5145732738184077	-2.807353912171429	1.0000000721347502	2.1926451095013495	1.0995357408766813	0.36257019159431814	1.5145732233240836	0.893084873767065	-0.8073546695859942	0.5145732738184077	1.1926451410603023	0.36257019159431814	1.2801079785978238	0.6520767883875564	1.0000000721347502	0.6520767883875564	1.4426949695965583e-07	1.0000000721347502	0.36257019159431814	1.1926451410603023	0.7776076628207601	1.0995357408766813	1.0000000721347502	1.3625701354895141	1.0000000721347502	0.7776076628207601	0.36257019159431814	0.5145732738184077	0.5145732738184077	0.36257019159431814	1.2801079785978238	2.807354942667533	1.4426949695965583e-07	0.6520767883875564	0.19264520417820644	0.6520767883875564	0.6520767883875564	1.4426949695965583e-07	-0.48542662519295027	0.19264520417820644	1.4426949695965583e-07	1.4426949695965583e-07	0.19264520417820644	1.3625701354895141	1.4426949695965583e-07	0.19264520417820644	0.5145732738184077	-0.22239225302203666	0.5145732738184077	-0.8073546695859942	1.3625701354895141	1.4426949695965583e-07	0.6520767883875564	0.19264520417820644	1.0000000721347502	-0.8073546695859942	0.19264520417820644	0.36257019159431814	-0.22239225302203666	0.36257019159431814	1.4426949695965583e-07	0.6520767883875564	-0.8073546695859942	1.4426949695965583e-07	0.6520767883875564	-0.48542662519295027	0.6520767883875564
argF	0.24567048466471367	-0.781694288166052	-0.2658938865061413	-7.658182340606303	-1.5186597169851197	-0.5921220748131445	-0.5813956698310554	-0.15836543466064357	-0.09596890433792718	-0.2918890918851425	-0.30948314973275404	0.10666024197251865	0.17467865923065976	-0.6414029700271131	0.3133321873043106	0.007124577992191315	0.13295153737179455	-0.781694288166052	-0.007159646585610836	-0.18653610417700014	-0.09215729079474926	-0.34079868627571547	-0.1663582245196857	-0.49833994218013444	0.5216977077543081	-0.5496868147965411	-1.0288545683041361	-0.7215733058517759	0.15877226973834677	-0.5444691062878937	-1.0143550015527012	-0.6358434455507436	-1.0435013412647822	-0.25733187402914853	-0.45853893966755416	-0.9577714843949623	-1.0508808701053964	-0.41028377758164425	-2.391424185110603	-0.6924269649502081	-0.15041668242981165	-1.3820867014461244	-2.8508555198931433	0.10001186658203641	0.5142161269073404	-1.1824777243422901	-0.9302907532599443	-0.6638578173247995	-0.3006593004359184	-0.4055458592035928	-0.8380322624389328	0.3530158856266482	-1.4487577233061444	-0.7694679879257945	-0.5601791870727448	-1.1906056033757295	-0.8768515042958883	-0.8508563004938585	-0.8127211783949218	-1.3635903626189438	-0.9508520717959168	-1.3544303656830956	-0.34532834418166597	-0.3914247528202836	-0.21526781941778994	0.30468463938882717	-0.21941946220559083	0.14591966882274668	0.372500496659773	-0.6548642868036006	-0.13906387886935687	-7.531354770904934	-1.3918297295380189	-0.4652920708805068	-0.4545656657628412	-0.031535425975333965	0.030861104920934947	-0.16505908451378898	-0.18265314254378245	0.2334902529317651	0.3015086707092065	-0.5145729667304816	0.44016219976855253	0.13395458814599231	0.259781548534675	-0.6548642868036006	0.11967036344797463	-0.05970609575887722	0.034672718498351934	-0.21396867941691808	-0.03952821590965489	-0.37150993709556973	0.6485277215326134	-0.42285681033338635	-0.9020245708422001	-0.5947433036373642	0.2856022810976372	-0.417639101760579	-0.8875250038430299	-0.5090134421812703	-0.9166713440556375	-0.13050186630598137	-0.3317089341162977	-0.8309414857419903	-0.9240508730245918	-0.2834537714815648	-2.264594226578506	-0.5655969623353749	-0.02358667367005064	-1.2552567108568478	-2.7240255852497994	0.22684187748919865	0.6410461406416743	-1.0556477296638977	-0.8034607541620193	-0.537027814325248	-0.17382929315519965	-0.2787158530506104	-0.7112022619077083	0.47984589835600133	-1.3219277342136473	-0.6426379863871994	-0.4333491827393151	-1.063775608853027	-0.7500215043565979	-0.7240263001564219	-0.685891177486232	-1.2367603716265307	-0.8240220730301102	-1.2276003744929416	-0.21849833737122287	-0.2645947465106535	-0.08843781127760218	0.4315146517943243	-0.0925894541060235	0.2727496800847109
aroG	-0.12852346374885848	-0.7571230940091951	-0.44538053035258873	0.08198560888074992	-4.278267941584719	-0.0318040371647295	-0.6840894784186825	-0.07633519251174034	0.007131621455092195	-0.26446476814509073	-0.10988774864374143	-0.2992301820790569	-0.11452415826331974	0.535017236413744	0.045044034027759805	-0.13322024993598044	0.001429262659455596	-0.6703711993645558	-0.1068050660918645	-0.08996705665543792	-0.39939433124148044	-0.3843856668659598	-0.00860442336165194	-0.2541964339203071	0.036704733925666026	0.13372917917286722	-8.393699436557963	-1.3899954454256245	-0.11143156354238946	-0.550350075127873	-0.8366031441614767	0.1258884266722923	0.4735308852273334	-0.5461683480554084	-0.4222042111171385	-1.1681385001605036	-0.9591194502707974	-0.5778308074870152	-1.490870019801665	-0.8062826981767901	-0.1585313356647079	-0.9928682349868134	-1.9619016093815744	-0.18267068653314367	0.42643111138096323	-0.8597691245700506	-0.5821054619483583	-0.6167664641432762	-0.5172308053408834	-0.33665858399074533	-1.1842942649005912	0.0765721132067901	-1.907247555405115	-0.8012906697044835	-0.39939433124148044	-0.3276585868728013	-0.6795022096588913	-0.26446476814509073	-0.9702815543796302	-1.1114314076881002	-0.5172308053408834	-1.573568566566155	-0.5090684365524276	-0.7002607664769904	-0.2541964339203071	-0.15216181149834812	-0.4376136483636524	-0.045019655311667565	0.006265930001016963	-0.6223337079410403	-0.3105911400578754	0.21677500454053128	-4.143478783464152	0.10298535749732085	-0.5493000912769224	0.05845420173791914	0.14192101646743066	-0.129675375785213	0.024901645286678816	-0.1644407900961901	0.020265235622400193	0.6698066353499077	0.17983342937221597	0.001569143768022978	0.13621865762108123	-0.5355818120271277	0.027984327868196966	0.044822337465414606	-0.26460494039703825	-0.24959627584586053	0.12618497151025296	-0.11940704145080201	0.17149412919781581	0.2685185752609631	-8.258914356686692	-1.255206071333632	0.02335783037316264	-0.41556068615562075	-0.701813759325133	0.26067782269646883	0.6083202837768087	-0.41137895902861177	-0.28741482054318046	-1.033349121261338	-0.824330067471303	-0.443041418877168	-1.3560806481521746	-0.671493312862506	-0.023741942210497947	-0.858078852779457	-1.8271122516964933	-0.04788129332128092	0.5612205096228773	-0.724979740105701	-0.4473160733955066	-0.4819770760588615	-0.3824414159409416	-0.20186919242405324	-1.0495048863270804	0.21136150882086635	-1.772458195856382	-0.6665012843124687	-0.26460494039703825	-0.1928691952050479	-0.5447128224514944	-0.129675375785213	-0.835492171774449	-0.9766420276743165	-0.3824414159409416	-1.4387791970504595	-0.3742790470485795	-0.5654713795682883	-0.11940704145080201	-0.01737241798086451	-0.3028242579748582	0.08976973922932213
asnA	0.19264520417820674	0.10638947860534888	-0.6839722747751045	1.4426949695965583e-07	-0.40525628742665776	-5.614702774926827	0.5996093718937121	0.014646918776630649	-0.21383024051455554	0.014646918776630649	0.4567526235597125	-0.32930744399128675	-0.49576856796133545	-0.007379385356257117	0.7516124558179469	0.8031427534514558	0.1990714727765916	-0.6605133056894574	0.05771563646815734	0.2921808693134006	1.2054691808593203	0.14684151863720454	0.5501971810859914	0.1600773446038718	0.40209855274826356	0.6379556810459318	0.14684151863720454	-0.85982208012933	0.44057269768982277	-0.007379385356257117	-0.3479231198045862	-0.20531874164326444	0.35683382249222395	0.11321074382922462	-0.6839722747751045	-0.18008145302865008	0.33365750195052907	0.2181802940706808	-0.8333498735285461	-0.2310053823188738	0.734018396854587	-0.49576856796133545	-0.4447846463060842	-0.13897625429026422	0.912767238576142	-0.01479685617126943	-0.19685716386778304	0.3909148151052135	-0.11486380080647092	-0.32930744399128675	-1.0147967104144728	0.2921808693134006	-0.807354669585994	-0.19685716386778304	-0.0990098513130166	-0.9142698540816148	0.17970614960796794	0.5751148116032402	-0.1069150485493621	-0.5703155105384161	-0.029747196118940906	-0.9142698540816148	0.03634198774442404	-0.1471041342761586	0.09264942326147117	0.20546924341865894	-0.31092891697088354	0.3278047761704613	0.17799842950192582	0.09174270400843071	-0.6986190483744326	-0.01464663022276689	-0.4199030614414714	-5.629349478756832	0.5849625969008226	1.4426949695965583e-07	-0.22847701477162588	1.4426949695965583e-07	0.4421058486679468	-0.34395421810607923	-0.5104153418499169	-0.022026159840971504	0.7369656807279059	0.7884959783307356	0.18442469809458567	-0.6751600793269318	0.0430688619181626	0.277534094551245	1.1908224055332794	0.13219474400247588	0.5355504061269523	0.1454305699569999	0.38745177789791224	0.6233089060275598	0.13219474400247588	-0.8744688534220745	0.4259259228101543	-0.022026159840971504	-0.3625698938953579	-0.21996551591037772	0.3421870476773801	0.09856396922585604	-0.6986190483744326	-0.19472822732519626	0.31901072715430173	0.20353351937180114	-0.8479966468698661	-0.24565215655549694	0.7193716217752746	-0.5104153418499169	-0.45943142026674283	-0.15362302863366015	0.898120463393689	-0.02944363064835652	-0.21150393814482205	0.37626804026353206	-0.12951057517673448	-0.34395421810607923	-1.0294434834042459	0.277534094551245	-0.8220014429741547	-0.21150393814482205	-0.11365662570070231	-0.9289166272716032	0.1650593749432918	0.5604680366269859	-0.12156182292838451	-0.5849622843169162	-0.044393970580535055	-0.9289166272716032	0.02169521321553997	-0.1617509086103964	0.07800264867763908	0.19082246873097863	-0.3255756911090889	0.3131580013789826
asnB	-0.33486696863333526	-0.9004640571460366	-0.3610985068677714	0.2544213964735752	-0.7369653537170529	1.8903077503295431	-7.129262819355777	-0.08488874457341068	-0.03125078655575676	-0.28379279036816235	-0.12928285915020493	0.060541680275664686	0.02046424479724785	1.015375297256987	0.201633986621388	-0.21041961274698848	0.2630345260583756	-0.456857476956518	0.010268478700136151	1.4426949695965583e-07	-0.5293699665338274	-0.38781584177999473	0.0801704851551295	-0.44278229366728983	0.13750365490402378	0.0801704851551295	-0.4013623718371518	-1.198545348271781	-0.14059817113556067	-0.38781584177999473	-0.807354669585994	0.04064212475935721	0.716207121815626	-0.7030180273855554	-0.27130184769903803	-0.8813552377417926	-0.9198293783737376	-0.4710713342156551	-1.3479229361888885	-0.6535493590377935	-0.28379279036816235	-1.0848885915603246	-1.7717305196993918	0.07038946529091925	0.42530594216740414	-0.8624962139418997	-0.6374296961960806	-0.807354669585994	-0.456857476956518	-0.32192791455049335	-1.2466396252487493	0.3545328731557694	-1.6374294717769042	-0.6863392889384343	-0.347923119804586	-0.4710713342156551	-0.7542433422519108	-0.14059817113556067	-0.7894327647056648	-1.0848885915603246	-0.7542433422519108	-1.544320095437818	-0.15200293314560995	-0.5901239886570527	-0.4013623718371518	-0.25891812473139647	-0.347923119804586	-0.10691504854936192	-0.37550894793178063	-0.9411060339490103	-0.4017404860708243	0.21377941543178614	-0.7776073313444234	1.8496657669441008	-7.1699042267833	-0.12553072469895393	-0.07189276684085501	-0.3244347698474392	-0.1699248391391294	0.019899699730907376	-0.020177735636168953	0.9747333147987859	0.16099200570837716	-0.2510615924750952	0.2223925449960177	-0.4974994557962372	-0.03037350170445846	-0.04064183610586372	-0.5700119450819162	-0.4284578208840889	0.03952850455695915	-0.4834242725619374	0.09686167415393722	0.03952850455695915	-0.44200435089036627	-1.2391873233088337	-0.18124015108898575	-0.4284578208840889	-0.8479966468698661	1.4426949695965583e-07	0.6755651398273147	-0.7436600051726932	-0.31194382722157393	-0.9219972146460083	-0.9604713550727333	-0.5117133129993581	-1.3885649101939095	-0.6941913370511179	-0.3244347698474392	-1.125530567314066	-1.8123724901216691	0.029747484719273586	0.38466396073962184	-0.9031381909447275	-0.6780716742814497	-0.8479966468698661	-0.4974994557962372	-0.3625698938953576	-1.2872815999651144	0.31389089188232266	-1.6780714434502984	-0.7269812668027005	-0.3885650990557689	-0.5117133129993581	-0.7948853197965109	-0.18124015108898575	-0.8300747420785919	-1.125530567314066	-0.7948853197965109	-1.5849620679127088	-0.19264491306297216	-0.6307659669492598	-0.44200435089036627	-0.2995601042964523	-0.3885650990557689	-0.14755702860764686
bcp	-0.703606762266602	-0.8272652089907546	-0.3940979719989028	0.13865367083561378	-0.9140265050435041	-0.6137212729412083	-0.8613461981148149	-23.253496664211536	0.0466933751229688	-0.31325358206569853	-0.16400486825994365	-0.1324501378820864	-0.538269055760729	0.5486530356508653	-0.7994667615322983	-0.5109617136933506	0.13865367083561378	-0.7994667615322983	-0.3775626064331452	0.12711205000553005	1.4426949695965583e-07	-0.6234364262827893	-0.3211371801593079	-0.6629647842957325	-0.009522628893582493	-0.15693282037485054	-0.2668358024134655	-1.1746782057352911	-0.3940979719989028	-0.12898628295775136	-0.8385363193180878	-0.3816787143698713	0.37412441732732804	-0.19626522832739915	-0.05481273477314102	-0.6933384284791093	-0.7139487047977506	-0.7454269310508421	-1.1746782057352911	-0.5428709570503691	-0.3211371801593079	-0.5109617136933506	-2.2479268281636036	-0.006341381968781339	-0.3899463292732273	-0.14638932730460513	-0.1711117539559888	-0.9320229309250493	-0.2255595317307975	-0.18543142365273885	-0.7614274070471947	-0.15340975420346592	-1.5382688462483738	-0.8498961794432066	-0.6480144451846753	-0.78849564561353	-0.7191476106177611	-0.38580659945397316	-0.6088881199435969	-0.7776073313444234	-0.9625250134407926	-0.8328897571847103	-0.2898580175371451	-0.5567653966747328	-0.3775626064331452	-0.07133863013756554	-0.2898580175371451	-0.3410367350937066	-0.6553516013881033	-0.7790100488039313	-0.3458428096281148	0.18690883513199338	-0.8657713453786059	-0.5654661115958739	-0.813091038129276	-23.253496664211536	0.09494853913561987	-0.26499841935505053	-0.11574970496978014	-0.08419497447689019	-0.4900138940453624	0.5969082010136448	-0.7512116011847805	-0.46270655184876175	0.18690883513199338	-0.7512116011847805	-0.3293074439912869	0.1753672142672845	0.04825530813101089	-0.5751812649865218	-0.27288201748096996	-0.6147096232025472	0.03873253493650317	-0.10867765705868665	-0.2185806395161187	-1.1264230478411499	-0.3458428096281148	-0.0807311195400803	-0.7902811591973067	-0.3334235519456283	0.4223795822728866	-0.14801006515747042	-0.00655757109540152	-0.645083267545797	-0.6656935439748544	-0.6971717703996587	-1.1264230478411499	-0.49461579535702127	-0.27288201748096996	-0.46270655184876175	-2.199671682098482	0.041913781871826615	-0.3416911668845186	-0.09813416394991424	-0.12285659069208228	-0.8837677713723979	-0.17730436867240307	-0.13717626044213208	-0.7131722464847401	-0.10515459087439705	-1.4900136914248594	-0.8016410193895122	-0.5997592840140253	-0.7402404852034385	-0.6708924498229669	-0.3375514370474464	-0.5606329585739753	-0.7293521708726995	-0.9142698540816151	-0.7846345970307792	-0.2416028547316461	-0.5085102350482934	-0.3293074439912869	-0.02308346651661729	-0.2416028547316461	-0.29278157249771425
cspA	0.39753334253940337	0.4488821735190899	-0.5334223012429166	1.4426949695965583e-07	0.9003460417138868	1.19996795717928	-0.0011049457091358928	0.25639125298264437	-5.560855440720868	0.9379269679255312	1.2619293759029648	-0.19823165357098793	-0.362727712071459	0.4364193792099883	1.095110292702724	0.9859393276481276	-0.4340643024522286	0.03994642606886267	0.044238035284414036	0.7169433785058055	0.9877972737749634	0.7223098879297369	0.8654025829699901	0.36902009902315586	-0.09198047721144519	0.8074602070319805	0.3769813841110876	-0.9529078283006177	0.5969413240780861	0.02228864348392634	-0.0597683318526927	0.1732761490297187	0.09027605014019328	0.24120648149352256	0.33293280161475364	-0.26790297288642895	0.7907423226109044	-0.30199809505629827	-0.04335871694783863	-0.362727712071459	0.9450211032557061	-0.10538632008814384	-0.29475290788456904	0.08334167050751938	1.13086031599903	0.2526872845297126	-0.049823948055552965	0.31646820151166744	0.026994464664836394	-0.04222079532270089	-0.6315501370978744	-0.08142269545002488	-1.169372449186602	-0.38371273448270504	0.3431285679140325	0.5504306690106451	-0.17476586959022722	0.6600551529771261	-0.3890070334602042	-0.43755087895330763	0.6315792119970224	-0.5516573485587866	-0.23416187390008555	-0.6453065685371628	-0.03767806296507879	-0.024509547682723502	-0.41823210134800465	0.5829974068204954	0.4707976618251619	0.5221464929944719	-0.4601579868733475	0.07326446183477796	0.9736103625954842	1.2732322787786094	0.07215937185067126	0.32965557171103554	-5.487591453218761	1.0111912889055363	1.3351936976330137	-0.1249673370578847	-0.28946339654818604	0.5096836986399655	1.1683746140676363	1.0592036487501832	-0.3607999873945664	0.11321074382922434	0.11750235306541489	0.7902076988685922	1.0610615948816609	0.7955742083086598	0.9386669037577574	0.4422844182006681	-0.018716160116438937	0.8807245276590642	0.4502457033190392	-0.8796435174200257	0.6702056440639155	0.09555296115872064	0.013495985410428644	0.24654046740345478	0.16354036813877756	0.31447080015863577	0.4061971206521624	-0.1946386567788283	0.8640066431904143	-0.22873377915438992	0.02990560039949189	-0.28946339654818604	1.0182854242540016	-0.03212200306421647	-0.2214885919385437	0.15660598847377308	1.2041246374457857	0.32595160324273004	0.023440369258714205	0.38973252048398144	0.10025878236253694	0.031043522030433753	-0.5582858234560166	-0.00815837829950358	-1.0961081405445583	-0.3104484190940185	0.41639288699138055	0.6236949888417314	-0.10150155294489724	0.7333194731651178	-0.3157427181057828	-0.3642865639189979	0.704843532094896	-0.4783930343207304	-0.16089755759365806	-0.5720422550013355	0.035586254411180906	0.0487547697601609	-0.34496778618500956	0.6562617267604554
cspC	0.03984372586903185	-0.24230168659638268	-0.17780561182375126	0.26440895012714155	-0.48707766423682514	0.27549849059024156	-0.12070232900708758	-0.008560174929197785	0.2328000958177046	-6.784476698952606	0.31514119234613963	0.12553101433089825	-0.06279882807200313	0.6022134917806586	0.17298814383469305	-0.13969567290496607	-0.38509837874955444	-0.04390507061579811	0.0968210308537221	0.10874310233434457	-0.041560654268431994	-0.44232109218309595	-0.17138363425741035	-0.6106523312716656	0.23255797197420464	0.07402916812865096	-0.48667896454140147	-1.0348414536201473	0.24509483826080178	-0.04009732632831008	-0.7732651010105029	0.4115482772331352	0.7129254678537741	-0.2888111662186021	-0.933014852271448	-0.5444269969304361	-0.09221809531174523	-0.12008381029061979	-0.8455520272239461	-0.6520764698704902	-0.09039957210391132	-0.4208337504645105	-1.1362519532659348	-0.1691426787086783	0.3258489653842481	-0.4227393046282544	-0.20149145272818936	-0.25616573086012445	-0.11792108064488838	-0.2335783887076015	-0.7467663718135885	-0.012572439839018772	-1.1826407611032077	-0.4606054565521532	-0.17298645064083876	-0.29647767870697317	-0.5839668810176664	-0.06696502908191745	-0.24263825369699119	-0.3447970192153032	-0.6687136210756586	-1.1500757889502735	-0.2239103799598712	-0.3027807245434155	-0.3105220326235149	0.1659049352255285	-0.28533981020101346	0.023142460060121592	-0.09374909170187262	-0.3758945012261903	-0.3113984271774503	0.13081613059351985	-0.6206704758050667	0.1419056709673875	-0.2542951449752426	-0.14215299203551895	0.09920727654222079	-6.918067987100984	0.18154837240985017	-0.008061804025170238	-0.19639164463888	0.4686206698143348	0.039395325063421194	-0.2732884886714379	-0.5186911916567002	-0.1774978873728938	-0.03677178724445063	-0.024849715871545067	-0.17515347104895768	-0.5759139043506238	-0.3049764496814325	-0.7442451410853868	0.09896515270071986	-0.05956364976110126	-0.6202717761150642	-1.1684342561281023	0.1115020188842387	-0.1736901431234408	-0.9068579082741292	0.27795545656959614	0.5793326452063288	-0.4224039803059441	-1.0666076567338088	-0.6780198077030952	-0.22581091157743027	-0.253676626265298	-0.979144833258343	-0.7856692790616251	-0.22399238838839286	-0.5544265629132129	-1.2698447536854307	-0.30273549415716633	0.19225614536476415	-0.5563321170521904	-0.3350842678197955	-0.38975854533005366	-0.2515138966423542	-0.3671712034372205	-0.8803591795126167	-0.14616525690612586	-1.3162335605173205	-0.594198268477099	-0.3065792660473387	-0.4300704927032053	-0.7175596912230935	-0.20055784560651355	-0.37623106832293574	-0.47838983262602564	-0.8023064300116691	-1.2836685890735402	-0.3575031947994081	-0.43637353846437826	-0.4441148464515815	0.032312116515363955	-0.4189326243294506	-0.11045035735224167
